IDEmploye,IDOperation,avg_temps,avg_rendement,most_used_machine,most_used_chain
191,556,19.833333333333332,82.42333333333333,13,18
191,587,173.50332068311195,81.39711574952561,5,18
191,588,51.489583333333336,90.83875,11,18
191,589,13.954545454545455,81.40081818181818,5,18
191,600,29.0,67.44,1,18
191,674,63.75,43.260000000000005,9,18
191,705,31.928571428571427,75.26357142857144,5,18
191,711,41.049418604651166,88.21744186046512,5,18
191,843,34.0,51.215,16,18
191,865,72.08333333333333,94.86466666666666,1,18
191,895,65.0,102.81125,5,18
191,978,31.875,81.40375,13,18
191,984,100.0,66.23,15,18
191,1051,60.0,53.1,1,14
191,1084,53.773648648648646,86.72864864864864,5,18
191,1131,60.833333333333336,84.7,1,18
191,1158,32.5,80.42,1,18
191,1165,79.77777777777777,81.31851851851852,5,18
191,1169,27.0,81.82,1,18
191,1173,62.714285714285715,80.30714285714285,5,18
191,1175,45.833333333333336,79.09666666666666,13,18
191,1186,11.0,84.37666666666667,1,18
191,1204,55.6875,88.58500000000001,1,18
191,1366,72.75,72.45500000000001,1,18
191,1411,20.8125,84.35833333333333,9,18
191,1499,36.5,75.46,15,18
191,1500,76.5,45.905,12,18
191,1502,36.86764705882353,107.31882352941177,5,18
191,1503,34.65765765765766,80.39711711711712,5,18
191,1504,43.333333333333336,86.58727272727273,5,18
191,1509,81.91911764705883,92.29735294117647,5,18
191,1513,45.638888888888886,66.79277777777777,1,18
191,1530,55.0,84.68333333333334,1,18
191,1531,47.220873786407765,76.99703883495145,5,18
191,1542,10.5,95.45,1,18
191,1546,40.40625,69.74625,1,18
191,1549,22.5,83.33,9,18
191,1595,33.5,81.71,16,18
191,1614,70.16447368421052,86.9596052631579,1,18
191,1629,100.66666666666667,79.71087719298247,1,18
191,1634,69.38103448275862,90.81879310344827,5,18
191,1635,61.0,69.00333333333333,5,18
191,1675,36.0,51.43,5,14
191,1681,0.5,0.19,9,13
191,1735,18.85,64.482,9,18
191,1747,104.5,74.10799999999999,1,18
191,1765,53.2,79.866,12,18
191,1814,26.533333333333335,78.12133333333333,1,18
191,1819,63.125,67.5,16,18
191,1940,64.72115384615384,76.75730769230769,5,18
191,1978,32.0,98.31333333333333,1,18
191,1982,39.375,89.91,16,18
191,1983,36.0,78.26,1,18
191,1995,42.90909090909091,82.70454545454545,5,18
191,1997,38.0,66.67,1,18
191,2086,33.0,78.57,9,18
191,2178,48.125,83.34875,5,18
191,2197,65.025,74.332,1,18
191,2210,23.5,68.08500000000001,1,18
191,2213,50.4,91.74,1,18
